School ID,Name of School,"Elementary, Middle, or High School",ZIP Code,Adequate Yearly Progress Made? ,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name
610523,Edison Park Elementary School,ES,60631,Yes,Standard,Not on Probation,Level 1,No,Very Strong,95,NDA,NDA,Average,52,Average,49,NDA,NDA,NDA,NDA,Strong,56,Weak,46,96.10%,6.9,96.60%,98.60%,78.1,NDA,64.2,62.6,54.7,49.1,59.4,61.4,38.8,48.5,40,55,27.7,32.6,-0.6,-0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,431,30,NDA,10,NORWOOD PARK
609819,Edmond Burke Elementary School,ES,60615,No,Track_E,Probation,Level 3,No,Very Weak,1,NDA,NDA,Very Weak,13,Weak,22,NDA,NDA,NDA,NDA,Average,48,Average,48,89.30%,82,95.50%,96.70%,44.4,57.4,30.3,16.2,40.7,40.4,37.6,24.7,63.3,45.5,3.6,14.3,7.9,4.3,-1.4,-1.9,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,244,42,NDA,40,WASHINGTON PARK
609815,Edward A Bouchet Math & Science Academy Elementary School,ES,60649,No,Standard,Probation,Level 3,No,Weak,33,Average,57,Average,55,Average,50,Average,53,Average,58,Average,50,Average,48,92.90%,28,95.90%,98.30%,57.6,42.4,13.7,21.7,51.6,44.8,15.7,34.7,48.2,66.5,0,23.7,5.6,7.6,-0.2,0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,783,46,NDA,43,SOUTH SHORE
610246,Edward Beasley Elementary Magnet Academic Center,ES,60609,Yes,Standard,Not on Probation,Level 1,No,Average,47,NDA,NDA,Weak,34,Average,48,NDA,NDA,NDA,NDA,Weak,42,Weak,45,95.00%,10.3,94.70%,100.00%,74,54.1,39.8,38.7,43.6,47.5,53.8,55.4,57.3,54.2,27,43,26.4,21.3,0.3,0.3,Yellow,Yellow,38.6,76.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1365,42,NDA,40,WASHINGTON PARK
609881,Edward C Delano Elementary School,ES,60624,No,Track_E,Probation,Level 2,No,Weak,38,Strong,64,Strong,66,Average,52,Strong,63,Strong,79,Strong,55,Strong,58,93.40%,20.3,94.70%,94.70%,88.4,76.7,26.7,18,62.6,62,41.5,32,67.1,69.3,3.4,6.9,6.8,10.9,1,1.7,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,414,34,NDA,26,WEST GARFIELD PARK
609862,Edward Coles Elementary Language Academy,ES,60617,No,Standard,Probation,Level 2,No,Weak,22,Average,43,Average,40,Average,54,Average,52,Average,53,Average,50,Average,51,95.10%,24.9,95.00%,98.70%,76.2,60,44.6,26.4,54.7,72.5,45.5,22.4,72.1,52.6,0,11.4,16.7,5.7,1,-0.1,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,554,47,NDA,46,SOUTH CHICAGO
609909,Edward Everett Elementary School,ES,60608,No,Track_E,Not on Probation,Level 2,No,NDA,,Strong,66,NDA,,NDA,,Average,47,Average,45,NDA,NDA,NDA,NDA,95.30%,2.4,97.70%,93.80%,64.4,47,37.2,35,56.9,52.2,NDA,NDA,NDA,NDA,NDA,NDA,13.6,13.6,0.6,1.3,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,321,39,NDA,59,MCKINLEY PARK
610012,Edward Jenner Elementary Academy of the Arts,ES,60610,No,Track_E,Probation,Level 3,No,Average,50,Weak,34,Strong,62,Average,41,Weak,20,Weak,26,Average,49,Average,53,88.90%,16,94.80%,98.70%,34.8,21.3,21.9,10.7,42.3,57.7,37.1,14.5,69.4,46.7,4.3,25.5,8.2,1.3,2,0.2,Green,Yellow,45.8,31.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,314,33,NDA,8,NEAR NORTH SIDE
609904,Edward K Ellington Elementary School,ES,60644,No,Track_E,Probation,Level 2,No,Weak,30,NDA,NDA,Weak,37,Average,55,NDA,NDA,NDA,NDA,Average,49,Average,50,93.30%,17.4,97.30%,98.90%,56.6,46.9,29.5,33.3,60.6,64.5,43.6,29.9,69.3,60.8,11.1,14.8,16.1,8,1.9,0.4,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,377,36,NDA,25,AUSTIN
610006,Edward N Hurley Elementary School,ES,60629,No,Track_E,Not on Probation,Level 1,No,Strong,77,Average,56,Average,50,Average,49,Average,43,Average,54,Average,49,Weak,46,95.40%,12.2,94.90%,96.60%,74.8,51.7,47.6,32.1,56.6,58.4,47,39.6,54,60.7,19,26.7,16.4,11.7,0,0.8,Yellow,Green,NDA,30.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,830,44,NDA,65,WEST LAWN
610315,Edward White Elementary Career Academy,ES,60643,No,Track_E,Probation,Level 2,No,Weak,27,NDA,NDA,Average,44,Average,48,NDA,NDA,NDA,NDA,Average,51,Weak,46,93.80%,31,96.70%,100.00%,64.9,35.1,16.3,32.6,67.6,47.4,31.6,34.2,57.6,81.8,14.3,28.6,7.4,7.4,1.9,1.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,138,49,NDA,53,WEST PULLMAN
609913,Elaine O Goodlow Elementary Magnet School,ES,60636,No,Standard,Probation,Level 3,No,Average,44,Average,42,Average,52,Average,56,Weak,35,Weak,28,Weak,46,Weak,46,91.60%,47.5,96.00%,100.00%,77.8,67.9,40.5,26,50.4,67.7,35.4,29.2,61,50,4,8,9.8,8.6,-0.2,-0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,419,43,NDA,67,WEST ENGLEWOOD
610233,Elihu Yale Elementary School,ES,60621,No,Track_E,Probation,Level 3,No,Weak,29,Weak,35,Average,43,Average,50,NDA,NDA,NDA,NDA,Average,49,Average,47,89.70%,67.2,97.00%,100.00%,16.4,6.9,23.3,19.1,39.1,38.2,31.9,15.7,62.5,50,0,12.9,4.5,3.2,-0.1,-1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,182,45,NDA,69,GREATER GRAND CROSSING
